you	Y UW 
stars	S T AA R Z 
stage	S T EY JH 
animal	AE N AH M AH L 
roll	R OW L 
east	IY S T 
dancing	D AE N S IH NG 
reading	R IY D IH NG 
faster	F AE S T ER 
locked	L AA K T 
van	V AE N 
soldier	S OW L JH ER 
military	M IH L AH T EH R IY 
final	F AY N AH L 
apart	AH P AA R T 
match	M AE CH 
computer	K AH M P Y UW T ER 
detective	D IH T EH K T IH V 
soldiers	S OW L JH ER Z 
admit	AH D M IH T 
tight	T AY T 
engine	EH N JH AH N 
outta	UW T AH 
build	B IH L D 
treat	T R IY T 
sight	S AY T 
closer	K L OW S ER 
huge	HH Y UW JH 
complete	K AH M P L IY T 
excellent	EH K S AH L AH N T 
alex	AE L AH K S 
beach	B IY CH 
surprised	S ER P R AY Z D 
dressed	D R EH S T 
ridiculous	R IH D IH K Y AH L AH S 
bigger	B IH G ER 
keeps	K IY P S 
stole	S T OW L 
united	Y UW N AY T AH D 
among	AH M AH NG 
hall	HH AO L 
danger	D EY N JH ER 
itself	IH T S EH L F 
cup	K AH P 
knife	N AY F 
support	S AH P AO R T 
milk	M IH L K 
mention	M EH N SH AH N 
fired	F AY ER D 
pants	P AE N T S 
built	B IH L T 
lies	L AY Z 
cousin	K AH Z AH N 
steve	S T IY V 
feelings	F IY L IH NG Z 
charles	CH AA R L Z 
main	M EY N 
cook	K UH K 
following	F AA L OW IH NG 
meat	M IY T 
grandma	G R AE N D M AA 
obviously	AA B V IY AH S L IY 
ill	IH L 
angel	EY N JH AH L 
screams	S K R IY M Z 
risk	R IH S K 
plans	P L AE N Z 
bathroom	B AE TH R UW M 
relationship	R IY L EY SH AH N SH IH P 
tape	T EY P 
sword	S AO R D 
taught	T AO T 
forgotten	F ER G AA T AH N 
nonsense	N AA N S EH N S 
danny	D AE N IY 
freedom	F R IY D AH M 
extra	EH K S T R AH 
pregnant	P R EH G N AH N T 
corner	K AO R N ER 
beyond	B IH AA N D 
hiding	HH AY D IH NG 
belong	B IH L AO NG 
sarah	S EH R AH 
wash	W AA SH 
drugs	D R AH G Z 
cars	K AA R Z 
chinese	CH AY N IY Z 
skin	S K IH N 
breathe	B R IY DH 
large	L AA R JH 
motherfucker	M AH DH ER F AH K ER 
gentleman	JH EH N T AH L M AH N 
leaves	L IY V Z 
driver	D R AY V ER 
command	K AH M AE N D 
health	HH EH L TH 
ugly	AH G L IY 
patient	P EY SH AH N T 
helped	HH EH L P T 
note	N OW T 
u	Y UW 
f	EH F 
figured	F IH G Y ER D 
bridge	B R IH JH 
strength	S T R EH NG K TH 
martin	M AA R T AH N 
greatest	G R EY T AH S T 
rose	R OW Z 
wondering	W AH N D ER IH NG 
acting	AE K T IH NG 
dumb	D AH M 
pig	P IH G 
horses	HH AO R S AH Z 
level	L EH V AH L 
nuts	N AH T S 
sunday	S AH N D EY 
w	D AH B AH L Y UW 
track	T R AE K 
commander	K AH M AE N D ER 
plays	P L EY Z 
anna	AE N AH 
heads	HH EH D Z 
walked	W AO K T 
strike	S T R AY K 
france	F R AE N S 
understood	AH N D ER S T UH D 
rule	R UW L 
turns	T ER N Z 
weapons	W EH P AH N Z 
england	IH NG G L AH N D 
h	EY CH 
common	K AA M AH N 
madame	M AE D AH M 
consider	K AH N S IH D ER 
grunts	G R AH N T S 
according	AH K AO R D IH NG 
roger	R AA JH ER 
stories	S T AO R IY Z 
losing	L UW Z IH NG 
weil	W AY L 
speed	S P IY D 
favorite	F EY V ER IH T 
tells	T EH L Z 
due	D UW 
sheriff	SH EH R AH F 
serve	S ER V 
keeping	K IY P IH NG 
teeth	T IY TH 
japanese	JH AE P AH N IY Z 
began	B IH G AE N 
richard	R IH CH ER D 
da	D AA 
lee	L IY 
shirt	SH ER T 
rings	R IH NG Z 
robert	R AA B ER T 
spoke	S P OW K 
size	S AY Z 
feed	F IY D 
held	HH EH L D 
bobby	B AA B IY 
coach	K OW CH 
dry	D R AY 
pack	P AE K 
ideas	AY D IY AH Z 
grace	G R EY S 
natural	N AE CH ER AH L 
prefer	P R AH F ER 
bottom	B AA T AH M 
balls	B AO L Z 
mountain	M AW N T AH N 
national	N AE SH AH N AH L 
movies	M UW V IY Z 
witness	W IH T N AH S 
view	V Y UW 
breath	B R EH TH 
ticket	T IH K AH T 
energy	EH N ER JH IY 
emergency	IH M ER JH AH N S IY 
code	K OW D 
hurts	HH ER T S 
cheers	CH IH R Z 
correct	K ER EH K T 
responsible	R IY S P AA N S AH B AH L 
earlier	ER L IY ER 
remain	R IH M EY N 
tommy	T AA M IY 
trick	T R IH K 
weekend	W IY K EH N D 
inspector	IH N S P EH K T ER 
account	AH K AW N T 
pal	P AE L 
ex	EH K S 
usual	Y UW ZH AH W AH L 
hanging	HH AE NG IH NG 
deserve	D IH Z ER V 
ringing	R IH NG IH NG 
groans	G R OW N Z 
showed	SH OW D 
example	IH G Z AE M P AH L 
practice	P R AE K T IH S 
weapon	W EH P AH N 
grandpa	G R AE N D P AA 
brown	B R AW N 
several	S EH V ER AH L 
happiness	HH AE P IY N AH S 
apologize	AH P AA L AH JH AY Z 
monster	M AA N S T ER 
pressure	P R EH SH ER 
center	S EH N T ER 
coat	K OW T 
silence	S AY L AH N S 
prepare	P R IY P EH R 
justice	JH AH S T AH S 
ours	AW ER Z 
letters	L EH T ER Z 
copy	K AA P IY 
whoo	W UW 
market	M AA R K AH T 
operation	AA P ER EY SH AH N 
jerry	JH EH R IY 
noise	N OY Z 
knowing	N OW IH NG 
birds	B ER D Z 
fill	F IH L 
advice	AE D V AY S 
society	S OW S AY IH T IY 
rome	R OW M 
russian	R AH SH AH N 
er	ER 
cream	K R IY M 
ghost	G OW S T 
exist	IH G Z IH S T 
oil	OY L 
jake	JH EY K 
horrible	HH AO R AH B AH L 
willing	W IH L IH NG 
leader	L IY D ER 
tie	T AY 
draw	D R AO 
lift	L IH F T 
loud	L AW D 
student	S T UW D AH N T 
jealous	JH EH L AH S 
nearly	N IH R L IY 
post	P OW S T 
al	AE L 
travel	T R AE V AH L 
surely	SH UH R L IY 
bread	B R EH D 
recognize	R EH K AH G N AY Z 
perfectly	P ER F AH K T L IY 
cards	K AA R D Z 
restaurant	R EH S T ER AA N T 
older	OW L D ER 
heat	HH IY T 
weather	W EH DH ER 
opinion	AH P IH N Y AH N 
games	G EY M Z 
ve	V IY 
cake	K EY K 
crew	K R UW 
character	K EH R IH K T ER 
suicide	S UW AH S AY D 
telephone	T EH L AH F OW N 
bucks	B AH K S 
drug	D R AH G 
pity	P IH T IY 
minister	M IH N AH S T ER 
although	AO L DH OW 
introduce	IH N T R AH D UW S 
brave	B R EY V 
chair	CH EH R 
gotten	G AA T AH N 
fantastic	F AE N T AE S T IH K 
biggest	B IH G AH S T 
bless	B L EH S 
noticed	N OW T IH S T 
wet	W EH T 
helping	HH EH L P IH NG 
priest	P R IY S T 
shows	SH OW Z 
thy	DH AY 
nowhere	N OW W EH R 
agreed	AH G R IY D 
meaning	M IY N IH NG 
somehow	S AH M HH AW 
cheering	CH IH R IH NG 
truly	T R UW L IY 
gate	G EY T 
nurse	N ER S 
towards	T AH W AO R D Z 
streets	S T R IY T S 
r	AA R 
paying	P EY IH NG 
horn	HH AO R N 
slowly	S L OW L IY 
naked	N EY K AH D 
thou	DH AW 
local	L OW K AH L 
style	S T AY L 
manager	M AE N AH JH ER 
soft	S AA F T 
yep	Y EH P 
suspect	S AH S P EH K T 
spring	S P R IH NG 
grown	G R OW N 
dropped	D R AA P T 
pieces	P IY S AH Z 
dig	D IH G 
monsieur	M AH S Y ER 
shake	SH EY K 
settle	S EH T AH L 
maria	M ER IY AH 
excited	IH K S AY T AH D 
incredible	IH N K R EH D AH B AH L 
possibly	P AA S AH B L IY 
whoever	HH UW EH V ER 
handsome	HH AE N S AH M 
ends	EH N D Z 
larry	L EH R IY 
lonely	L OW N L IY 
sweetie	S W IY T IY 
garden	G AA R D AH N 
stayed	S T EY D 
enter	EH N T ER 
prepared	P R IY P EH R D 
saturday	S AE T ER D IY 
science	S AY AH N S 
weak	W IY K 
arrested	ER EH S T AH D 
discuss	D IH S K AH S 
powerful	P AW ER F AH L 
screw	S K R UW 
dr	D R AY V 
fate	F EY T 
split	S P L IH T 
flat	F L AE T 
opportunity	AA P ER T UW N AH T IY 
proof	P R UW F 
medicine	M EH D AH S AH N 
breaking	B R EY K IH NG 
jane	JH EY N 
loose	L UW S 
gang	G AE NG 
trial	T R AY AH L 
speaks	S P IY K S 
spanish	S P AE N IH SH 
bite	B AY T 
medical	M EH D AH K AH L 
pleased	P L IY Z D 
murdered	M ER D ER D 
afford	AH F AO R D 
comfortable	K AH M F ER T AH B AH L 
snow	S N OW 
bringing	B R IH NG IH NG 
bright	B R AY T 
trees	T R IY Z 
friday	F R AY D IY 
guest	G EH S T 
invited	IH N V AY T AH D 
ears	IH R Z 
santa	S AE N T AH 
purpose	P ER P AH S 
career	K ER IH R 
survive	S ER V AY V 
believed	B IH L IY V D 
ordered	AO R D ER D 
threw	TH R UW 
dave	D EY V 
destroyed	D IH S T R OY D 
hearing	HH IY R IH NG 
color	K AH L ER 
laughter	L AE F T ER 
condition	K AH N D IH SH AH N 
bodies	B AA D IY Z 
mayor	M EY ER 
training	T R EY N IH NG 
manage	M AE N AH JH 
victim	V IH K T IH M 
finger	F IH NG G ER 
opened	OW P AH N D 
pretend	P R IY T EH N D 
roof	R UW F 
nothin	N AA TH IH N 
file	F AY L 
numbers	N AH M B ER Z 
suggest	S AH JH EH S T 
expecting	IH K S P EH K T IH NG 
whore	HH AO R 
lake	L EY K 
ashamed	AH SH EY M D 
plus	P L AH S 
turning	T ER N IH NG 
sees	S IY Z 
whenever	W EH N EH V ER 
chattering	CH AE T ER IH NG 
falling	F AA L IH NG 
spare	S P EH R 
p	P IY 
farm	F AA R M 
rent	R EH N T 
repeat	R IH P IY T 
release	R IY L IY S 
sugar	SH UH G ER 
fortune	F AO R CH AH N 
alarm	AH L AA R M 
students	S T UW D AH N T S 
winter	W IH N T ER 
thousands	TH AW Z AH N D Z 
insane	IH N S EY N 
base	B EY S 
total	T OW T AH L 
fingers	F IH NG G ER Z 
stops	S T AA P S 
thief	TH IY F 
fancy	F AE N S IY 
hill	HH IH L 
stolen	S T OW L AH N 
chris	K R IH S 
female	F IY M EY L 
sooner	S UW N ER 
tongue	T AH NG 
liar	L AY ER 
target	T AA R G AH T 
downstairs	D AW N S T EH R Z 
matters	M AE T ER Z 
joy	JH OY 
subject	S AH B JH EH K T 
mail	M EY L 
criminal	K R IH M AH N AH L 
client	K L AY AH N T 
easier	IY Z IY ER 
received	R AH S IY V D 
cheap	CH IY P 
brings	B R IH NG Z 
distance	D IH S T AH N S 
pulled	P UH L D 
doors	D AO R Z 
credit	K R EH D AH T 
concerned	K AH N S ER N D 
g	JH IY 
lines	L AY N Z 
selling	S EH L IH NG 
responsibility	R IY S P AA N S AH B IH L AH T IY 
harm	HH AA R M 
castle	K AE S AH L 
grandfather	G R AE N D F AA DH ER 
male	M EY L 
followed	F AA L OW D 
birth	B ER TH 
stomach	S T AH M AH K 
spread	S P R EH D 
storm	S T AO R M 
brilliant	B R IH L Y AH N T 
arthur	AA R TH ER 
british	B R IH T IH SH 
hm	HH AH M 
opening	OW P AH N IH NG 
paint	P EY N T 
slept	S L EH P T 
piss	P IH S 
lover	L AH V ER 
returned	R IH T ER N D 
hoping	HH OW P IH NG 
reality	R IY AE L AH T IY 
universe	Y UW N AH V ER S 
funeral	F Y UW N ER AH L 
bath	B AE TH 
contract	K AA N T R AE K T 
cares	K EH R Z 
taxi	T AE K S IY 
lately	L EY T L IY 
trade	T R EY D 
video	V IH D IY OW 
ed	EH D 
weight	W EY T 
disappeared	D IH S AH P IH R D 
thomas	T AA M AH S 
lied	L AY D 
square	S K W EH R 
expected	IH K S P EH K T AH D 
march	M AA R CH 
tears	T EH R Z 
airport	EH R P AO R T 
block	B L AA K 
ohh	OW 
thee	DH IY 
cigarette	S IH G AH R EH T 
eggs	EH G Z 
onto	AA N T UW 
program	P R OW G R AE M 
defense	D IH F EH N S 
forest	F AO R AH S T 
unfortunately	AH N F AO R CH AH N AH T L IY 
europe	Y UH R AH P 
pool	P UW L 
tiny	T AY N IY 
jean	JH IY N 
apparently	AH P EH R AH N T L IY 
conversation	K AA N V ER S EY SH AH N 
super	S UW P ER 
walter	W AO L T ER 
nights	N AY T S 
pete	P IY T 
signal	S IH G N AH L 
permission	P ER M IH SH AH N 
thoughts	TH AO T S 
murderer	M ER D ER ER 
project	P R AA JH EH K T 
signed	S AY N D 
rat	R AE T 
mercy	M ER S IY 
yellow	Y EH L OW 
dan	D AE N 
checked	CH EH K T 
desk	D EH S K 
covered	K AH V ER D 
shower	SH AW ER 
simon	S AY M AH N 
clearly	K L IH R L IY 
scare	S K EH R 
regret	R AH G R EH T 
grunting	G R AH N T IH NG 
buried	B EH R IY D 
created	K R IY EY T AH D 
property	P R AA P ER T IY 
remind	R IY M AY N D 
planning	P L AE N IH NG 
merry	M EH R IY 
swim	S W IH M 
pocket	P AA K AH T 
tickets	T IH K AH T S 
secretary	S EH K R AH T EH R IY 
path	P AE TH 
ended	EH N D AH D 
aware	AH W EH R 
speech	S P IY CH 
burning	B ER N IH NG 
washington	W AA SH IH NG T AH N 
drinks	D R IH NG K S 
pair	P EH R 
glasses	G L AE S AH Z 
ocean	OW SH AH N 
foreign	F AO R AH N 
yourselves	Y UH R S EH L V Z 
goodness	G UH D N AH S 
page	P EY JH 
waited	W EY T IH D 
audience	AA D IY AH N S 
andy	AE N D IY 
runs	R AH N Z 
rise	R AY Z 
research	R IY S ER CH 
fake	F EY K 
amen	EY M EH N 
courage	K ER IH JH 
ate	EY T 
expensive	IH K S P EH N S IH V 
pure	P Y UH R 
bullet	B UH L AH T 
photo	F OW T OW 
yelling	Y EH L IH NG 
depends	D IH P EH N D Z 
social	S OW SH AH L 
warning	W AO R N IH NG 
belongs	B IH L AO NG Z 
genius	JH IY N Y AH S 
desert	D EH Z ER T 
forced	F AO R S T 
realized	R IY AH L AY Z D 
player	P L EY ER 
grave	G R EY V 
map	M AE P 
staff	S T AE F 
vote	V OW T 
headed	HH EH D AH D 
success	S AH K S EH S 
easily	IY Z AH L IY 
reasons	R IY Z AH N Z 
monkey	M AH NG K IY 
italian	IH T AE L Y AH N 
rough	R AH F 
journey	JH ER N IY 
create	K R IY EY T 
personally	P ER S AH N AH L IY 
scott	S K AA T 
harder	HH AA R D ER 
wise	W AY Z 
discovered	D IH S K AH V ER D 
guests	G EH S T S 
sudden	S AH D AH N 
silver	S IH L V ER 
television	T EH L AH V IH ZH AH N 
higher	HH AY ER 
bastards	B AE S T ER D Z 
breathing	B R IY DH IH NG 
fought	F AO T 
pounds	P AW N D Z 
fixed	F IH K S T 
add	AE D 
political	P AH L IH T AH K AH L 
painting	P EY N T IH NG 
mountains	M AW N T AH N Z 
suck	S AH K 
lower	L OW ER 
century	S EH N CH ER IY 
germany	JH ER M AH N IY 
desire	D IH Z AY ER 
bro	B R OW 
failed	F EY L D 
football	F UH T B AO L 
monday	M AH N D IY 
louis	L UW IH S 
badly	B AE D L IY 
ancient	EY N CH AH N T 
below	B IH L OW 
jerk	JH ER K 
factory	F AE K T ER IY 
sending	S EH N D IH NG 
records	R AH K AO R D Z 
clock	K L AA K 
william	W IH L Y AH M 
aw	AO 
changes	CH EY N JH AH Z 
member	M EH M B ER 
piano	P IY AE N OW 
lesson	L EH S AH N 
carefully	K EH R F AH L IY 
heading	HH EH D IH NG 
gods	G AA D Z 
kate	K EY T 
rush	R AH SH 
lips	L IH P S 
tall	T AO L 
unit	Y UW N AH T 
safety	S EY F T IY 
bedroom	B EH D R UW M 
letting	L EH T IH NG 
fred	F R EH D 
americans	AH M EH R IH K AH N Z 
disgusting	D IH S G AH S T IH NG 
adam	AE D AH M 
finding	F AY N D IH NG 
therefore	DH EH R F AO R 
season	S IY Z AH N 
points	P OY N T S 
china	CH AY N AH 
thirty	TH ER D IY 
odd	AA D 
revenge	R IY V EH N JH 
wood	W UH D 
clever	K L EH V ER 
royal	R OY AH L 
divorce	D IH V AO R S 
parts	P AA R T S 
artist	AA R T AH S T 
christian	K R IH S CH AH N 
someday	S AH M D EY 
suffer	S AH F ER 
wherever	W EH R EH V ER 
dawn	D AO N 
rights	R AY T S 
grew	G R UW 
nation	N EY SH AH N 
union	Y UW N Y AH N 
theory	TH IH R IY 
laid	L EY D 
champagne	SH AE M P EY N 
mood	M UW D 
useless	Y UW S L AH S 
awesome	AO S AH M 
filled	F IH L D 
soup	S UW P 
miracle	M IH R AH K AH L 
officers	AO F AH S ER Z 
university	Y UW N AH V ER S AH T IY 
model	M AA D AH L 
hung	HH AH NG 
period	P IH R IY AH D 
opens	OW P AH N Z 
smoking	S M OW K IH NG 
toilet	T OY L AH T 
ear	IY R 
deliver	D IH L IH V ER 
babe	B EY B 
golden	G OW L D AH N 
hearts	HH AA R T S 
cheese	CH IY Z 
victory	V IH K T AH R IY 
plant	P L AE N T 
proper	P R AA P ER 
planned	P L AE N D 
shape	SH EY P 
showing	SH OW IH NG 
ruin	R UW AH N 
growing	G R OW IH NG 
vacation	V EY K EY SH AH N 
doctors	D AA K T ER Z 
reached	R IY CH T 
honour	AA N ER 
legal	L IY G AH L 
faces	F EY S AH Z 
governor	G AH V ER N ER 
ruined	R UW AH N D 
original	ER IH JH AH N AH L 
butt	B AH T 
request	R IH K W EH S T 
issue	IH SH UW 
refuse	R AH F Y UW Z 
per	P ER 
carrying	K AE R IY IH NG 
crash	K R AE SH 
honestly	AA N AH S T L IY 
bride	B R AY D 
exciting	IH K S AY T IH NG 
awake	AH W EY K 
fellas	F EH L AH S 
cow	K AW 
load	L OW D 
pa	P AA 
forces	F AO R S IH Z 
smith	S M IH TH 
based	B EY S T 
grant	G R AE N T 
woods	W UH D Z 
suffering	S AH F ER IH NG 
scream	S K R IY M 
knowledge	N AA L AH JH 
freak	F R IY K 
temple	T EH M P AH L 
romantic	R OW M AE N T IH K 
decent	D IY S AH N T 
hidden	HH IH D AH N 
joking	JH OW K IH NG 
midnight	M IH D N AY T 
passing	P AE S IH NG 
younger	Y AH NG G ER 
arrive	ER AY V 
sin	S IH N 
becomes	B IH K AH M Z 
insurance	IH N SH UH R AH N S 
jacket	JH AE K AH T 
kinda	K IH N D AH 
investigation	IH N V EH S T AH G EY SH AH N 
professional	P R AH F EH SH AH N AH L 
millions	M IH L Y AH N Z 
invite	IH N V AY T 
bang	B AE NG 
boring	B AO R IH NG 
wolf	W UH L F 
mirror	M IH R ER 
hoo	HH UW 
lucy	L UW S IY 
fan	F AE N 
chicago	SH AH K AA G OW 
dies	D AY Z 
california	K AE L AH F AO R N Y AH 
alice	AE L IH S 
charming	CH AA R M IH NG 
walls	W AO L Z 
annie	AE N IY 
saint	S EY N T 
members	M EH M B ER Z 
kevin	K EH V IH N 
obvious	AA B V IY AH S 
avoid	AH V OY D 
bike	B AY K 
carl	K AA R L 
assistant	AH S IH S T AH N T 
sat	S AE T 
workers	W ER K ER Z 
talent	T AE L AH N T 
fifty	F IH F T IY 
touched	T AH CH T 
stranger	S T R EY N JH ER 
chest	CH EH S T 
regular	R EH G Y AH L ER 
buying	B AY IH NG 
tear	T EH R 
jobs	JH AA B Z 
particular	P ER T IH K Y AH L ER 
guards	G AA R D Z 
recently	R IY S AH N T L IY 
image	IH M AH JH 
indian	IH N D IY AH N 
finds	F AY N D Z 
brian	B R AY AH N 
trap	T R AE P 
interview	IH N T ER V Y UW 
familiar	F AH M IH L Y ER 
burned	B ER N D 
eve	IY V 
celebrate	S EH L AH B R EY T 
memories	M EH M ER IY Z 
shock	SH AA K 
details	D IH T EY L Z 
iron	AY ER N 
marie	M ER IY 
wide	W AY D 
hunt	HH AH N T 
emperor	EH M P ER ER 
flower	F L AW ER 
poison	P OY Z AH N 
destiny	D EH S T AH N IY 
prisoner	P R IH Z AH N ER 
anne	AE N 
bones	B OW N Z 
matt	M AE T 
dollar	D AA L ER 
rooms	R UW M Z 
owner	OW N ER 
crack	K R AE K 
brains	B R EY N Z 
appointment	AH P OY N T M AH N T 
cab	K AE B 
glory	G L AO R IY 
violence	V AY AH L AH N S 
riding	R AY D IH NG 
enemies	EH N AH M IY Z 
chocolate	CH AO K L AH T 
meal	M IY L 
sisters	S IH S T ER Z 
hook	HH UH K 
freeze	F R IY Z 
damned	D AE M D 
candy	K AE N D IY 
sometime	S AH M T AY M 
x	EH K S 
shots	SH AA T S 
raised	R EY Z D 
tower	T AW ER 
grandmother	G R AE N D M AH DH ER 
ng	EH NG 
stood	S T UH D 
bravo	B R AA V OW 
dust	D AH S T 
alan	AE L AH N 
precious	P R EH SH AH S 
warn	W AO R N 
africa	AE F R IH K AA 
toast	T OW S T 
virgin	V ER JH IH N 
bags	B AE G Z 
appear	AH P IH R 
caused	K AA Z D 
pride	P R AY D 
community	K AH M Y UW N AH T IY 
switch	S W IH CH 
thunder	TH AH N D ER 
pilot	P AY L AH T 
damage	D AE M AH JH 
helen	HH EH L AH N 
watched	W AA CH T 
led	L EH D 
loving	L AH V IH NG 
changing	CH EY N JH IH NG 
confused	K AH N F Y UW Z D 
rice	R AY S 
knees	N IY Z 
coast	K OW S T 
beast	B IY S T 
lisa	L IY S AH 
songs	S AO NG Z 
babies	B EY B IY Z 
japan	JH AH P AE N 
duke	D UW K 
mentioned	M EH N SH AH N D 
silent	S AY L AH N T 
tour	T UH R 
grateful	G R EY T F AH L 
sons	S AH N Z 
daniel	D AE N Y AH L 
central	S EH N T R AH L 
traffic	T R AE F IH K 
fourth	F AO R TH 
actor	AE K T ER 
official	AH F IH SH AH L 
howard	HH AW ER D 
victor	V IH K T ER 
applause	AH P L AO Z 
armed	AA R M D 
fella	F EH L AH 
jeff	JH EH F 
moves	M UW V Z 
palace	P AE L AH S 
families	F AE M AH L IY Z 
troops	T R UW P S 
rate	R EY T 
writer	R AY T ER 
hired	HH AY ER D 
junior	JH UW N Y ER 
carried	K AE R IY D 
process	P R AA S EH S 
committed	K AH M IH T IH D 
beating	B IY T IH NG 
phil	F IH L 
amount	AH M AW N T 
percent	P ER S EH N T 
false	F AO L S 
affair	AH F EH R 
rob	R AA B 
susan	S UW Z AH N 
frightened	F R AY T AH N D 
license	L AY S AH N S 
falls	F AO L Z 
tied	T AY D 
offered	AO F ER D 
bull	B UH L 
direction	D ER EH K SH AH N 
fallen	F AA L AH N 
saving	S EY V IH NG 
knocking	N AA K IH NG 
pussy	P UH S IY 
snake	S N EY K 
cos	K AO S 
holiday	HH AA L AH D EY 
indistinct	IH N D IH S T IH NG K T 
k	K EY 
loss	L AO S 
theater	TH IY EY T ER 
germans	JH ER M AH N Z 
mighty	M AY T IY 
whistle	W IH S AH L 
youth	Y UW TH 
smells	S M EH L Z 
boom	B UW M 
lab	L AE B 
border	B AO R D ER 
ordinary	AO R D AH N EH R IY 
kicked	K IH K T 
cast	K AE S T 
mexico	M EH K S AH K OW 
drove	D R OW V 
answers	AE N S ER Z 
statement	S T EY T M AH N T 
rescue	R EH S K Y UW 
sharp	SH AA R P 
creature	K R IY CH ER 
zero	Z IY R OW 
receive	R AH S IY V 
sexy	S EH K S IY 
borrow	B AA R OW 
uniform	Y UW N AH F AO R M 
naturally	N AE CH ER AH L IY 
unbelievable	AH N B AH L IY V AH B AH L 
eric	EH R IH K 
humans	HH Y UW M AH N Z 
flesh	F L EH SH 
row	R OW 
treasure	T R EH ZH ER 
friendly	F R EH N D L IY 
jason	JH EY S AH N 
modern	M AA D ER N 
score	S K AO R 
screwed	S K R UW D 
neighborhood	N EY B ER HH UH D 
kim	K IH M 
highness	HH AY N AH S 
pills	P IH L Z 
gee	JH IY 
studio	S T UW D IY OW 
fail	F EY L 
escaped	IH S K EY P T 
positive	P AA Z AH T IH V 
defend	D IH F EH N D 
tip	T IH P 
complicated	K AA M P L AH K EY T AH D 
eaten	IY T AH N 
darkness	D AA R K N AH S 
hunting	HH AH N T IH NG 
steps	S T EH P S 
disease	D IH Z IY Z 
el	EH L 
groaning	G R OW N IH NG 
cases	K EY S AH Z 
climb	K L AY M 
role	R OW L 
terrific	T ER IH F IH K 
egg	EH G 
event	IH V EH N T 
joey	JH OW IY 
effect	IH F EH K T 
revolution	R EH V AH L UW SH AH N 
seek	S IY K 
disappear	D IH S AH P IH R 
including	IH N K L UW D IH NG 
chase	CH EY S 
chuckling	CH AH K L IH NG 
shopping	SH AA P IH NG 
wave	W EY V 
houses	HH AW S AH Z 
fed	F EH D 
mystery	M IH S T ER IY 
blows	B L OW Z 
rocks	R AA K S 
nah	N AA 
attorney	AH T ER N IY 
stairs	S T EH R Z 
newspaper	N UW Z P EY P ER 
presence	P R EH Z AH N S 
beloved	B IH L AH V D 
rope	R OW P 
delicious	D IH L IH SH AH S 
comrade	K AA M R AE D 
dragon	D R AE G AH N 
bow	B AW 
roy	R OY 
pot	P AA T 
section	S EH K SH AH N 
pissed	P IH S T 
barely	B EH R L IY 
winner	W IH N ER 
fishing	F IH SH IH NG 
senator	S EH N AH T ER 
aboard	AH B AO R D 
hated	HH EY T AH D 
healthy	HH EH L TH IY 
julie	JH UW L IY 
curious	K Y UH R IY AH S 
mass	M AE S 
grade	G R EY D 
leo	L IY OW 
aside	AH S AY D 
bone	B OW N 
terribly	T EH R AH B L IY 
wire	W AY ER 
attacked	AH T AE K T 
bleeding	B L IY D IH NG 
talkin	T AA K AH N 
ted	T EH D 
nasty	N AE S T IY 
staring	S T EH R IH NG 
yard	Y AA R D 
button	B AH T AH N 
prisoners	P R IH Z AH N ER Z 
kingdom	K IH NG D AH M 
quarter	K W AO R T ER 
secrets	S IY K R IH T S 
jews	JH UW Z 
plate	P L EY T 
dump	D AH M P 
tail	T EY L 
sacrifice	S AE K R AH F AY S 
bored	B AO R D 
stronger	S T R AO NG G ER 
salt	S AO L T 
metal	M EH T AH L 
talks	T AO K S 
cancer	K AE N S ER 
sand	S AE N D 
films	F IH L M Z 
joseph	JH OW S AH F 
subtitles	S AH B T AY T AH L Z 
heh	HH EH 
fruit	F R UW T 
gosh	G AA SH 
claim	K L EY M 
barking	B AA R K IH NG 
goal	G OW L 
penny	P EH N IY 
concern	K AH N S ER N 
clears	K L IH R Z 
shadow	SH AE D OW 
beeping	B IY P IH NG 
firm	F ER M 
friendship	F R EH N D SH IH P 
powers	P AW ER Z 
becoming	B IH K AH M IH NG 
rachel	R EY CH AH L 
prime	P R AY M 
advantage	AE D V AE N T IH JH 
picking	P IH K IH NG 
punch	P AH N CH 
stealing	S T IY L IH NG 
wishes	W IH SH IH Z 
non	N AA N 
extremely	IH K S T R IY M L IY 
steady	S T EH D IY 
protection	P R AH T EH K SH AH N 
tiger	T AY G ER 
giant	JH AY AH N T 
edge	EH JH 
hundreds	HH AH N D R AH D Z 
woke	W OW K 
chuck	CH AH K 
loser	L UW Z ER 
assume	AH S UW M 
behave	B IH HH EY V 
direct	D ER EH K T 
jones	JH OW N Z 
blew	B L UW 
windows	W IH N D OW Z 
managed	M AE N AH JH D 
pen	P EH N 
chose	CH OW Z 
wheel	W IY L 
drag	D R AE G 
sexual	S EH K SH UW AH L 
passion	P AE SH AH N 
maid	M EY D 
county	K AW N T IY 
chick	CH IH K 
magazine	M AE G AH Z IY N 
remove	R IY M UW V 
chan	CH AE N 
jenny	JH EH N IY 
panting	P AE N T IH NG 
nope	N OW P 
checking	CH EH K IH NG 
available	AH V EY L AH B AH L 
spell	S P EH L 
terms	T ER M Z 
engaged	IH N G EY JH D 
focus	F OW K AH S 
stock	S T AA K 
valley	V AE L IY 
duck	D AH K 
wounded	W UW N D IH D 
treated	T R IY T AH D 
chosen	CH OW Z AH N 
likely	L AY K L IY 
wound	W AW N D 
hollywood	HH AA L IY W UH D 
